ISBN,TITLE,AUTHORS,YEAR,PUBLISHER,GENRE,DESCRIPTION,PAGE_COUNT,LANGUAGE,AVG_RATING,RATINGS_COUNT
9780375759147,Little Dorrit,Charles Dickens,2002,National Geographic Books,Fiction,"Upon its publication in 1857, Little Dorrit immediately outsold any of Dickens’s previous books. The story of William Dorrit, imprisoned for debt in Marshalsea Prison, and his daughter and helpmate, Amy, or Little Dorrit, the novel charts the progress of the Dorrit family from poverty to riches. In his Introduction, David Gates argues that “intensity of imagination is the gift from which Dickens’s other great attributes derive: his eye and ear, his near-universal empathy, his ability to entertain both a sense of the ridiculous and a sense of ultimate significance.” This Modern Library Paperback Classic is set from the text of the 1857 edition.",0,en,,
9783423206457,Miss Clare erinnert sich,Miss ... Read,2003,,,,218,de,,
9780440120148,Devil's Guard,George R. Elford,1985,National Geographic Books,History,"The personal account of a guerrilla fighter in the French Foreign Legion, reveals the Nazi Battalion's inhumanities to Indochinese villagers.",0,en,,
9780609605141,What's Not to Love?,Jonathan Ames,2000,Crown,Biography & Autobiography,"""Jonathan Ames is one of the funniest writers in America,"" so says Jonathan Ames, who is actually writing this flap copy, which is the publishing industry term for the boastful fluff you read on the inner portion of most hardcover book jackets. So let the truth be known: Most writers write or at least rewrite their flap copy. And why not? They are writers after all. For the flap copy on my last novel, I had the audacity to pronounce that I was one of America's most talented young writers. My mother read that and was very proud, pointing it out to me. I then said to her, ""I wrote that."" But she was still proud; she probably didn't believe that I wrote it. In fact, she doesn't believe most of what I tell her, but that's probably because she couldn't take it if she did believe me. Which is a good way to describe this book, this comic autobiography: It's the kind of book one's mother shouldn't read, though there are several passages where I profess my great Oedipal love and desire for my mother, which she might find flattering. What else recommends this book, or, rather, what recommends me, since this book is about me. Well, I'm bald and ribald, I'm like Rabelais and Danny Kaye, sometimes I'm straight and sometimes I'm gay. Well, not really. I'm almost never gay, but it rhymed nicely with Kaye, and also I tend to be depressed rather than gay. But I do like to make others laugh, so if you're standing in a bookstore, I hope you'll find this book funny and I hope that you'll move on to my introduction, where I'll further implore you to keep reading, with the idea that you'll eventually purchase the book, which is the point, by the way, of flap copy.",296,en,5,1
9780140098921,Kangaroo,D. H. Lawrence,1987,Penguin Group USA,Fiction,"A critical edition of Kangaroo, D. H. Lawrence's eighth novel, set in Australia. Copyright © Libri GmbH. All rights reserved.",400,en,,
9780805064360,After the Darkest Hour,Kathleen A. Brehony,2001,Macmillan,Family & Relationships,""" ... the stories of people who have endured trials and consequently found deeper spiritual and psychological meaning in their lives ...""--Jacket.",294,en,,
9782841466894,Violences scolaires,"Pascal Vivet, Bernard Defrance",2000,,Adolescents maltraités - France,"Quand on évoque la violence à l'école, on a tendance aujourd'hui à stigmatiser les jeunes eux-mêmes : trublions, incivils, vandales, agressant leurs profs... Cette réalité existe, mais elle en cache une autre, bien plus pernicieuse : la violence - psychologique, physique ou sexuelle - subie par les enfants et les adolescents dans le cadre d'une institution censée les protéger. A partir de récits recueillis à un poste d'observation privilégié - un comité de prévention des mauvais traitements à l'égard des mineurs -, les auteurs analysent des cas de violence en milieu scolaire, sélectionnés pour leur caractère ordinaire : des histoires vécues par des enfants et des adolescents, qui permettent de lever le voile sur une réalité encore trop souvent dissimulée et de questionner la défaillance des adultes dans ces situations. Ils interrogent, de leur place respective (celle de l'enseignant ; celle du chargé de mission censé faire le lien entre l'institution scolaire, la collectivité locale et, le cas échéant, la justice), les difficultés des institutions à répondre efficacement à ces dérapages quotidiens. De la maternelle au lycée, cet ouvrage est un outil de prévention précieux pour les enseignants et les parents.",151,fr,,
9780446605632,Exchange Alley,Michael Walsh,1998,Warner Books (NY),Fiction,"The nude and sexually mutilated body of a Danish diplomat is found in upstate New York. When old-fashioned NYPD Detective Francis X. Byrne is brought into the case, he discovers the man was hiding a dangerous secret. Byrne must delve into the heart of contemporary urban darkness to uncover not only the killer, but the truth behind Lee Harvey Oswald and the KGB.",486,en,,
9780312957797,Casting in Dead Water,David Leitz,1996,St Martins Press,Fiction,"Anticipating a season of fly fishing and relaxation at a Vermont Lodge, Max Addams is alarmed when the arrival of a lumber company culminates in the death of hundreds of trout and the murder of a close friend. Original.",281,en,,
9780425089996,Elvis - The Final Years,Jerry Hopkins,1985,Berkley,Singers,"Even after his death, Elvis, the King, lives on in his music and in the memories of millions of fans. Finally, a book exposes the real Elvis--the star so many loved, but few truly knew. An extremely gifted man, very giving, and very, very human.",304,en,,
