ISBN,TITLE,AUTHOR,YEAR,PUBLISHER
9780441000913,The Laughing Corpse (Anita Blake Vampire Hunter (Paperback)),Laurell K. Hamilton,1994,Ace Books
9780375759147,Little Dorrit (Modern Library Classics),Charles Dickens,2002,Modern Library
9780307101006,Pooh Just Be Nice...To Your Little Friends! (Pooh - Just Be Nice Series),Caroline Kenneth,1996,Golden Books Publishing Company
9783423206457,Miss Clare Erinnert Sich.,Miss Read,2003,Dtv
9780440120148,Devil'S Guard,George Robert Elford,1988,Dell Publishing Company
9780609605141,What'S Not To Love: The Adventures Of A Mildly Perverted Young Writer,Jonathan Ames,2000,Crown Publishing Group (Ny)
9780140098921,Kangaroo,D.H. Lawrence,1986,Penguin Books Ltd
9780805064360,After The Darkest Hour: How Suffering Begins The Journey To Wisdom,Kathleen A. Brehony,2001,Owl Books (Ny)
9782841466894,Violences Scolaires. Les Enfants Victimes De Violence Ã?Â L'Ã?Â©Cole,Pascal Vivet,2000,Syros
9780446605632,Exchange Alley,Michael Walsh,1998,Warner Books
9780312957797,Casting In Dead Water,David Leitz,1996,St Martins Pr (Mm)
9780312959067,City Hall,Kenneth Lipper,1996,St Martins Pr
9780425089996,Elvis-The Final Years,Jerry Hopkins,1985,Berkley Publishing Group
9781902825243,The Xenophobe'S Guide To The Danes,Helen Dyrbye,1999,Globe Pequot Pr
9780966517637,Championship Writing: 50 Ways To Improve Your Writing,Paula Larocque,2000,Marion Street Press
9780525242314,Green Politics,Fritjof Capra,1984,Penguin Usa
9780671667498,Being The Best,Ralph Peters,1988,Pocket
9780521478090,Patterns And Processes Of Vertebrate Evolution (Cambridge Paleobiology Series),Robert Lynn Carroll,1997,Cambridge University Press
9780821741313,Delta Green (Zebra Books),William H. Lovejoy,1993,Kensington Publishing Corporation
9780340394953,The British Airways Story: Struggle For Take-Off,Duncan Campbell-Smith,1986,Hodder And Stoughton
9780340321201,Fifth Hostage,Terence Strong,0,Trafalgar Square
9780849917066,The Memory Book : A Novel,Penelope J. Stokes,2002,Westbow Press
9780670856404,The Fortune Teller'S Mah Jongg: The Ancient Game As A Modern Oracle,Derek Walters,1994,Penguin Usa
9780373520770,"Bad - Girl Bride (Silhouette Yours Truly, 52077)",Jennifer Drew,1998,Silhouette
9780061082306,La Flamme,Constance O'Banyon,1995,Harper Mass Market Paperbacks (Mm)
9780812095371,Hamsters &Amp; Guinea Pigs (First Pets),Kate Petty,1988,Barron'S
9780671685232,Secrets Can Kill (Nd #1) (Nancy Drew Files (Paperback)),Carolyn Keene,1989,Simon Pulse
9780595308866,Jackpot Blood: A Nick Herald Genealogical Mystery,Jimmy Fox,2004,Iuniverse
9780312246495,Katharine Hepburn: A Stylish Life,Joal Ryan,1999,St Martins Pr
9781587152528,Tequila Sunrise,"Bracken, Michael",2003,Wildside Press
9780060187453,"Tales Of Good And Evil, Help And Harm",Philip Hallie,1997,Harpercollins
9780345358646,The Lie Of The Land,Haydn Middleton,1989,Ballantine Books
9780373289110,"Norman'S Heart (Harlequin Historical, No 311)",Molly Moore,1996,Harlequin
9780385260077,Cat'S Eye,Margaret Atwood,1989,Doubleday Books
9782070361038,Zazie Dans Le Metro (Folio),Raymond Queneau,1972,Folio
9781859021125,Cardiff: Half-And-Half A Capital (Changing Wales),Rhodri Morgan,1994,Gomer
9780802138200,Asleep,Banana Yoshimoto,2001,Grove Press
9780449908587,The Happy Isles Of Oceania: Paddling The Pacific,Paul Theroux,1993,Ballantine Books
9780152017682,"The Darkangel: The Darkangel Trilogy, Volume I",Meredith Ann Pierce,1998,Magic Carpet Books
9780448413105,The Mummy'S Gold (Eek! Stories To Make You Shriek (Paper Series)),Kate Mcmullan,1996,Grosset &Amp; Dunlap
9780515134155,Maid Of Killarney (Irish Eyes),Ana Seymour,2002,Jove Books
9780709164647,Condominium,John D. Macdonald,1977,Robert Hale Ltd
9780374189891,A Live Coal In The Sea,Madeleine L'Engle,1996,Farrar Straus &Amp; Giroux
9780373613748,The Billionaire Drifter (Family Secrets),Beverly Bird,2003,Silhouette
9782277301004,La Ligne Verte,Jules Verne,1999,Editions 84
9780515122770,Slocum And The Comely Corpse (Jake Logan (Paperback)),Jake Logan,1998,Jove Books
9780156010757,The Feeling Of What Happens: Body And Emotion In The Making Of Consciousness,Antonio R. Damasio,2000,Harvest Books
9780061001420,Almonds And Raisins,Maisie Mosco,1991,Harper Mass Market Paperbacks (Mm)
9780029037614,The Tempting Of America (The Political Seduction Of The Law),Robert H. Bork,1989,Free Press
9780306804465,Piece Of My Heart: A Portrait Of Janis Joplin (Da Capo Paperback),David Dalton,1991,Da Capo Press
9780140322576,The Double Life Of Pocahontas,Jean Fritz,1987,Puffin Books
9780312119324,"Where Do You Stop? : The Personal History, Adventures, Experiences, And Observations Of Peter Leroy (Continued)",Eric Kraft,1995,Picador
9780451176752,No Way Home,Andrew Coburn,1993,Signet Book
9780802711694,Your Child'S First School: A Handbook For Parents,Diana Townsend-Butterworth,1992,Walker &Amp; Company
9788483100356,Yo No Tengo La Culpa De Haber Nacido Tan Sexy (Andanzas),Eduardo Mendicutti,2000,Tusquets
9780749931889,Mother Love,Martine Oborne,2000,Piatkus Books
9780312265793,The Dutch: A Milan Jacovich Mystery (Milan Jacovich Mysteries (Hardcover)),Les Roberts,2001,St. Martin'S Minotaur
9781889195162,Most Art Sucks: Five Years Of Coagula,Walter Robinson,1998,Smart Art Press
