ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,Image-URL-S,Image-URL-M,Image-URL-L
0448163888,"Bravo, Baryshnikov!",Alan LeMond,1978,Grosset &amp; Dunlap,http://images.amazon.com/images/P/0448163888.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0448163888.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0448163888.01.LZZZZZZZ.jpg
0380702576,Murder in Advent,David Williams,1987,Avon Books,http://images.amazon.com/images/P/0380702576.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0380702576.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0380702576.01.LZZZZZZZ.jpg
0345405633,The Great War: Breakthroughs (Great War),Harry Turtledove,2000,Del Rey Books,http://images.amazon.com/images/P/0345405633.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345405633.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345405633.01.LZZZZZZZ.jpg
0373764723,Expecting...And In Danger  (Dynasties:The Connellys),Eileen Wilks,2002,Silhouette,http://images.amazon.com/images/P/0373764723.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0373764723.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0373764723.01.LZZZZZZZ.jpg
0062518038,Search: A guide for those who dare to ask of life everything good and beautiful,James J Kavanaugh,1985,Harper &amp; Row,http://images.amazon.com/images/P/0062518038.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0062518038.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0062518038.01.LZZZZZZZ.jpg
0030602971,Omni Games: The Best Brainteasers from Omni Magazine,Scot Morris,1983,"Holt, Rinehart and Winston",http://images.amazon.com/images/P/0030602971.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0030602971.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0030602971.01.LZZZZZZZ.jpg
055315527X,The Treasure of Alpheus Winterborn,John Bellairs,1985,Yearling Books,http://images.amazon.com/images/P/055315527X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/055315527X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/055315527X.01.LZZZZZZZ.jpg
0394746295,The Good Terrorist,Doris May Lessing,1986,Vintage Books USA,http://images.amazon.com/images/P/0394746295.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0394746295.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0394746295.01.LZZZZZZZ.jpg
0747516693,Life Before Man Cats Eye,Margaret Atwood,0,Trafalgar Square,http://images.amazon.com/images/P/0747516693.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0747516693.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0747516693.01.LZZZZZZZ.jpg
1860463681,Woman and the Ape,Peter Heg,1997,Havill Pr,http://images.amazon.com/images/P/1860463681.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1860463681.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1860463681.01.LZZZZZZZ.jpg
